,reviews_title,reviews_text,ratings,author,stay_date
151,Requires a good upgrade,"OK the location is good (if you want to be close to Times Square), however I would have preferred something at a bit more distant and with better quality. Rooms are small and require a good upgrade in all its aspects. Rooms are also very noisy from other rooms, the corridor, the AC system, the street and you can even hear the rumble from Times Square. The in-house restaurants are very expensive for what they offer and due to the location there are actually not that much sensible priced alternatives (we found a number towards Hell’s Kitchen for breakfast and diner). I will definitely select something else for a future visit. As many other hotels nowadays you need to pay a daily fee for which you get two small bottles of water and access to a very poor wifi. You would hope you get at least a decent wifi nowadays.",3,Bart v,August 2019
152,The great staff @ The Edison,"I cannot say enough about the staff, security and housekeeping crew at The Edison. I've been a guest for years, and this last visit was super impressive! Retrieved a misplaced toiletry bag, served a great meal at Bond 45, fab breakfast at Friedmans!!!  Thanks again!",5,KERRY CRAVEN,August 2019
153,One ply Toliet Paper!,"You are paying for the location...so don't expect much else. Room was smaller than I expected. Smallest room I have had in Manhattan! Hallway was incredibly hot...but ac in room was ok. Water pressure was so so. No vending machines for soda or snacks, have to go to lobby gift shop. The absolute worst was their so called toliet paper...it was the thinnest one ply paper I have ever used. Came apart mid job. Had to go down the block to Duane Reade to get some Charmin. It was THAT bad. So, if you stay here, bring your own like when you go overseas.",3,Abc_20201,August 2019
154,Great location but some of rooms definately need a refurbishment,"Fantastic location.  6 of us stayed in 2 rooms.  My sons room had recently been refurbished and it looked ok,  however, the room we had was in a poor shape.  The enamel on the bath was in a poor way and in one area the wallpaper was coming off the walls.  It did have very comfy beds.The public areas within  this hotel are all very smart. The 4 adults had a very good night in the Rum House which is the bar within the hotel.  Great service and they had a very good jazz band playing on the Wednesday evening.",3,SEAB24,August 2019
155,Nightmare turned into a dream,"Arrived from a long flight from Dublin ... followed by an even longer taxi ride from Newark!! Let’s not talk about it. Arrived at the hotel which was located just a moments walk from Times Square . The first night we were on the 6th floor and the room was awful.. I mean a scene from a movie back in the 70’s. That night we spoke to an absolutely lovely girl at the reception desk who arranged to move us the very next day. We moved from the 6th floor to the 18th. It was like we jump back into the DeLorean time machine and we were back in 2019. The room had a great view , it was a suite and was super modern. The staff were super friendly and helpful. I would like to thank them all for doing a great job. Other hotels should take note. Down to brass tax: when you book this hotel , insist you stay on one of the floor that has being recently updated.",4,Darren,June 2019
156,Top notch location and hospitality,"I work in the Entertainment Industry in NYC and have a constant influx of people visiting for both professional and personal reasons. I ALWAYS send them to the Hotel Edison. The location is absolutely perfect both for work and play and the Art Deco design is CLASSIC NYC! But above all else, the level of hospitality is always top-notch. A big hats off to  Rommel Gopez who always handles our guests with impeccable attention to detail. Whether A-list celebrity or childhood best friend, you can count on them receiving best in class treatment. We will keep sending our guests to the Edison!",5,myfabny,August 2019
157,Very nice!,"My daughter and granddaughter and I got a junior suite which worked out very well for the 3 of us.   And the location was great.   It is right there with the theaters and Times Square.    Within walking distance of good restaurants, as well as it offers access to two on site restaurants.   The staff was friendly and helpful to us.   It was quiet where we were - no problems with noise within the hotel.    All was clean.   Would like a larger bathroom, but it is an older hotel.    All in all, it was a good experience.",1,Fearless182837,August 2019
158,Highly Disappointed!,"My family and I visited the Edison Hotel recently for a few days. We booked a Junior Suit Room and a Queen Bedroom Room.The Junior Suit room had a distinct smell of mold and sewage, making it almost impossible to sleep. The room was anything but clean. Piles of dust were found in the drawers while Cocacola Cans were visible under the bed as soon as you sat on the couch.The Queen Bedroom was still dirty but not as much, however there was another major problem. The (ancient) air conditioning was so loud that one was unable to sleep. The noise and the dust coming out of it were close to impossible to withstand.Nevertheless, it is worth to mention that Time's Square was just around the corner. If one can withstand all the above, the hotel has the perfect location to visit the New York City.",1,Notis Tzionis,August 2019
159,NYC Favorite,"We have been coming to the Hotel Edison for many years as it is our favorite hotel because of its proximity to Broadway and the many Broadway shows.  This last time was the best.  The concierge was very helpful and the front desk staff were, experienced, kind and helpful.  The rooms were very clean and the housekeeping staff were friendly. This Art Deco building is beautiful, and Friedmans was a great spot to eat in the hotel. There were a group of us scattered around different hotels and when our friends came for a visit they were disappointed they did not choose Hotel Edison.",5,G. Gordon,August 2019
160,Rude Wake Up,"We always try to stay here when we visit the city, location is fantastic and the service is great.  During this trip my children and I were woken up to a loud voice outside our door.I checked to see what was going on assuming it was other hotel guests but it was employees of the hotel.  A gentleman ""reprimanding"" two employee so inappropriately loud that it woke us up.  Maybe not the best place to have that type of interaction??  You would think the consideration of guests would take precedence over an employee issue.",4,disneybride2108,August 2019
161,Good location!,"Perfect location, just in front of time square, reception staff a little unfriendly, my room was a bit small with no view but for a very good price in Manhattan, don't know if I had some kind of offer but it was very cheap considering location.",4,Renzo B.,October 2018
162,Wonderful hotel for first-time visitors to NYC!,"From the moment you step into the Hotel Edison you can feel the rich cultural and architectural history of NYC. My wife and I were visiting NYC for the first time and immediately felt at home after entering our room. We are from the south and had never really been to a major city like this prior to this trip. Some reviews seem to complain about the rooms being too small, however, we did not feel this was the case. Our 1-bed room was far more spatious than we expected! Finally, this hotel is located right on the edge of Times Square, and it was only a 5 minute walk into the ""Hells Kitchen"" neighborhood which offered the best food and drink prices (and friendliest staff!!) we found in Manhattan. Don't let the name of that neighborhood turn you away!We cannot wait to stay at the Edison again the next time we go to NYC.",5,JaredMAdams,August 2019
163,Holiday,"On arrival this hotel looked fantastic from the lobby , even the corridors down to the room looked great . However, when we entered our room , it was dark and not very clean . There was only one bedside locker and the air conditioning unit was right beside the bed . The bathroom was dark and dingy and looked very unclean .After a very long flight we decided to stay in the room , however, the next morning we asked to be moved . We upgraded to a suite for an extra charge . The location of this hotel is excellent but the classic bedrooms are nothing like the pictures and do not resemble a 3 star hotel .",2,SarahC1982,August 2019
164,Not what I expected,"So we arrived  2.10 after flying from Toronto to be told our room was not ready till 3 ok that’s fine so do you have somewhere to leave are luggage. Yes side of hotel lobby and we was CHARGED what can I say €12 pathetic.Came back to get our rooms mine was on the 15th floor dresser was lifted up with two pieces of wood, wallpapers was peeling off the walls, carpet was threadbare ect. I was given another room on the 6th not much better but how much can you complain with kids. I did not want it to put a damper on our trip.. No tea or coffee in the room. No fridge nothing. Yes I know it NYC but it is twenty first century 😂 If your teenager takes your key or you forget it then no way are you getting up to your room. There a man sat right at the Escalators he won’t let you passed without your key at first I thought that’s nice. But on evening our teenage took are key up to the room and he would not let me up he was nasty rude and made a complete show I tried to explain until my friend appears and explains again. He give me a right telling off rude awful man.So to say I be back nooooooo I gave it a two for location but it’s very-load at night and the streets are crammed so getting back and to to this hotel is a nightmare crowds everywhere",2,Things you need to know,August 2019
165,Great hotel and great location!,"We came for an 8 night trip from the UK and I can't fault the hotel at all. We had a signature king room and it was very spacious, the room was huge and the bed was very comfy.We had a tea and coffee maker which was replaced every day by our wonderful housekeeper.The bathroom was on the small side but was plenty big enough for one of us to have a shower comfortably. The air conditioning unit was pretty loud, especially at night when we were trying to sleep but other than that the room was great. It is less than a 30 second walk to the heart of town square and is walking distance to the empire state building, grand central station and one of the entrances to central park. We will definitely be back!!",5,abbiemike1993,August 2019
166,Wayne O Reilly,Great hotel in a superb locationLiterally just off Times Square Friendly knowledgeable staff  available all hours Room very clean and spacious Particularly enjoyed the Friday afternoon resident her together in the lobby with lovely food and entertainment Definitely would stay here again,4,belgarath,August 2019
167,Great location,"There are so many positives to this hotel I don’t know where to start.Firstly, the location is perfect. Located On the corner of Times Square, perfect for the low cost broadway ticket box, the row with some of the best restaurants and 10 minutes walk from Central Park.  We have kids with us and only steps away is the Disney store, M&M store, planet Hollywood , Hard Rock Cafe and Madame Tussauds.The staff are so helpful and friendly, we arrived on a Tuesday and between 5- 7pm there is. Complimentary buffet and drinks such as house wine red / white and sangria. Also a jazz duo played which made for a great atmosphere in the art Deco lobby.We stayed in a signature family room with two bedrooms and one bathroom with a corner view of Times Square and broadway. You definitely feel in the middle of it all. The room had a safe, fridge and coffee maker. It was so very clean too.Second floor gives you access to the business suite which allows you to print off your boarding passes etc for free.Next door is a great takeout booth serving pizza and fries of evening and coffee and pastries of a morning. This allows you a cheap breakfast on the run or a cheap tea in the room.My advice is to book direct with the hotel. We booked through a third party and decided to extend our stay. Booking direct saved us so much more money.This hotel Made our holiday. You won’t be disappointed.",5,The Ollies,August 2019
168,Excellent Hotel!,"My daughter and I were looking for a reasonably priced hotel for a short trip to NYC. We chose the Edison because there was a special on at the time we were booking, and the location was perfect--just steps from Times Square and walking distance to everything we wanted to see in our limited time.I was a little bit unsure because I had read some less than favourable reviews when I was searching. I'm not sure why, because I couldn't find fault with anything about this hotel.My understanding was that the hotel was under renovation, and that some rooms had been remodeled while others had not, so I decided to book a ""signature"" room, which was an updated one, although the cleanliness of a hotel is more important to me than whether or not a room seems dated. The Edison was immaculate!We arrived early in the morning after an overnight bus trip, and had planned on just checking our bags at the desk ($1 per bag) until check-in time, but we were offered an early check-in and decided to take it. There was a fee, but it was worth it to be able to change and freshen up before heading out to see the sights. Check out can be as late as 1pm without extra fees. Had a later checkout been the same price as the early check-in I might have taken it, but it was considerably more, so we chose the $1 bag check option for the few hours we had left in the afternoon after we checked out.I was surprised how large the room was. I was expecting something very small since it's NYC, but there was lots of room, plus a sizeable closet with safe, coffee and bottled water, which were nice touches. I also liked that you had to show a room key to get on the elevators. We didn't have a view of the city, but it was very quiet and the beds were comfortable.There is a restaurant and lounge on site but we didn't use either one.Any staff that we dealt with were very friendly and helpful. We would love to return to NYC sometime, and would not hesitate to book the Hotel Edison when we do!",5,mlj773,August 2019
169,nice modern hotel in great location,hotel personnel were very helpful and room was modern and clean. beautiful view and nice amenities. close to everything especially subway stop where we could utilize from anywhere in the city. would stay there again,5,Traveler20640,August 2019
170,Great location!! ,"I would definitely stay at this hotel again. The location was perfect! You are close to time square and you can easily walk to broadway and many other places such as rockerfeller center and the subways. Our room had a safe which was a plus! The tour booth in the lobby had a map of the subway routes for manhattan which really helped us out! The only con was the bathroom around the bottom of the shower door could have been a little cleaner. It is like when the sealant starts turning dark. We really needed a fridge, but we managed without one. Otherwise it was great! The housekeeping staff was great!",4,Kimberly G,August 2019
171,16th Birthday trip for my Daughter,"The hotel was in an awesome location! We requested a signature room, and it was perfect for the two of us.  It had a newly remodeled bathroom as well.  The front desk personnel were friendly and efficient and on Fridays they have complimentary happy hour.  Though it was a little pricey, we had a great stay in a great part of town.",4,M6147WQdianef,August 2019
172,Helpful staff and great location,"My daughter and I stayed at this hotel for 3 nights from the 7 August. After a delayed overnight flight from Vegas which landed the equivalent of 3am Vegas time, very early New York time, we were resigned to not getting a room till the afternoon.We explained that we had very little sleep and my daughter wasn't feeling well and requested a phone call as soon as the room was ready.The receptionist, Melissa, was very sympathetic but advised it would be some time before a room would be ready.We ate breakfast in the restaurant and receive a call from Melissa to say a room was ready for us. This enabled us to have a few hours much needed sleep before exploring. Thank you Melissa. Management please take note.As others have mentioned the hotel is in need of some renovation but when you are out all day you just need a place to sleep.",4,SandyVF,August 2019
173,Great experience,"Excellent localization, excellent service, and comfortable room. You can access all shows by foot, close to Times Squares, restaurants, Metro and stores. Concierge to support our stay and transfer. And entire staff very willing to help.",5,Raquel K,August 2019
174,First Trip to NYC,"5 star...they made our first trip to NYC perfect!  Friendly staff, clean, great location!  Will absolutely be back and will stay here!  Booked directly with the hotel and was sent a welcome email with a thank you for booking...a credit to use when we ate at one of the restaurants (Food was great) and late check out",5,ktjzad,August 2019
175,Hotel Edison,"Stayed at the Edison twice. 6 years apart.Is now our New York City hotel of choice.Rooms, staff, facilities, location & service are top class at a economy price.Plus the Pub is amazing.1/2 block West of the top of Times Square makes the Broadway location ideal to enjoy the various shows. We really enjoyed Pretty Woman with the theater a 5 minute walk from the Edison.The Edison is our NYC home.",5,Greg Watson,August 2019
176,Read this before booking ,"We stayed at the Hotel Edison as part of a weekend bus trip to NYC. I’ve never stayed at this hotel before as I have always stayed at the nearby Marriott Marquis when in Times Square. I decided to give it a shot. When we arrived, the lobby seemed nice and promising. Our room was located on the first floor and was a total dump. I’m typically pretty easy going, but the place smelled of mold, was outdated, had visible water damage, and was dirty. I started looking for other hotels nearby, but everything was booked. After reading a review on here that mentioned someone stayed here twice and had one room that was awful and one that was nice, I thought perhaps I’d talk to the front desk. This is when my experience COMPLETELY changed. I spoke with Marcos at the front desk to voice my concerns. He immediately put us in a room on the 17th floor. From the minute we arrived on the 17th floor it was like a completely different hotel. It had new, modern upgrades, was clean, and inviting. It seems like everyone I spoke with that stayed on floors 16 and up were pleased. It seems as though the hotel started updating it from the top down and haven’t  made their way to the lower level floors. Be sure if you stay here to request a higher level floor or go elsewhere. A huge THANK YOU to Marcos for correcting the situation immediately. He is a great addition to the staff at Hotel Edison!",3,ashleytravels89,August 2019
177,The Edison is amazing !,"The Edison hotel is amazing, I would highly recommend it.  The staff are so friendly and helpful and the location is the brilliant.   Me and my sister was celebrating our birthday out there and on arrival we had a room upgrade and a bottle of wine and other goodies ! We will definitely return to the Edison .  Thank you all so much for looking after us.  I’m only sorry I never met Rommel as he was the one that sorted out our upgrade and the wine.  Absolutely fabulous.  Thanks again x",5,Debbie H,August 2019
178,My 70 th Birthday Bash,"Location, staff, and rooms all excellent.Booked two suites here with Rommel Gopez. Price was awesome for a Suite in midtown. Room was kept emaculate by housekeeping staff. Was here to celebrate my 70th birthday with friends and family from the northeast. Danny head of security offered to help us find closes subway to the World Trade Center.Instead of telling us he escorted us down the street to the subway station. I forget the name of the gentleman who checked us in, but, the process was flawless. Then we ran into Scott the hotel manager and he remembered us from our past stays at this hotel. All in all our stay at the Edison helped to make my special birthday that much more specialSo I wish to thank the entire staff and we will be back for sure.Bob Z",5,Robert Z,August 2019
179,Awful stay,"Stayed here for 2 nights, 1 and 2 August 2019.  The rooms were dull and dowdy. We paid the City tax which was expected but not a facilities tax. I asked what the tax was for and was told tea/coffee making facilities,  We didn’t have any tea/coffee making facilities, the safes were broken, we did ask about these things and were told the rooms didn’t have them. The bath was a disgrace with the enamel peeling off.  The rooms overlooked the back of the hoteI, making the rooms dark. I found the people unfriendly and unhelpful. The hotel was covered in scaffolding.  Never again.",1,Barb jo,August 2019
180,Worst hotel experience,"The fact that this place is supposed to be a “luxury” hotel is a joke. If this is what they consider luxury they need to check a dictionary. The rooms are the oldest rooms I’ve ever stayed in. The flooring is old and coming apart next to the wall. The first room we stayed in looked as though there was mildew on the ceiling. There was a hole in the bathroom door as well. When we complained they did accommodate our request and move us to another room however it wasn’t much better. The ac unit barely works in the heat of summer, so of course we had to call someone to check it out. Turns out the filter hadn’t been changed in who knows how long. And the stench of sewer coming from the bathroom is enough to make your stomach turn. When someone was asked to come fix it or at least see if there was an issue, we were told we needed to run more hot water. They sprayed some lemon scented chemical to the point I now need an air purifier to not get overwhelmed by the scent of sewer and chemical combined.When asked again to come check beings the chemical smell had died down and the sewer smell came back, they returned only to spray the same awful chemical and do nothing else. Simply covering up the problem is not fixing the problem. Not to mention we were told to begin with our room would be ready at noon and it wasn’t ready until 4. Extremely disappointed with the front staff as well. Abrasive and rude. And I would appreciate it if my luggage wouldn’t be thrown around like a sack of potatoes. If they’re remodeling and the hotel is in a condition that is not safe or able to be used then they need to either close for the entirety or not book those areas but it’s obvious they do. And another thing, what kind of room has one night stand and no microwave, fridge or coffee maker? I’ve paid less for rooms that had all the accommodations and were not considered luxury in the slightest. Don’t waste your money.",1,Whitney A,August 2019
181,Location and price are its strengths,"If you are looking for a Times Square location with a low price, this is your place. Rooms are beyond tiny, with an even smaller bathroom. Very few lights, but a comfortable bed. Nice towels in the bathroom and really nice Bigelow toiletries. Flat screen TV on a very old wall. Basically clean, safe, comfortable room to sleep and shower, not room to do anything else.",3,longingforord,August 2019
182,below average dump,"This is a below-average, disgusting hotel. The rooms look like they haven't been updated in about 10 years. The bathroom had mold around the doors painted lightly over with a thin white paint.  The 1970 sink and tub fixtures were yellowed and gross.  The vanity had only one sliding mirror and also looked like it had not been touched/updated in years.  The room's rug was dirty, tearing at the edges and immediately made it difficult to stay in the room without taking any anti-histamine.  The pics on Tripadvisor look nothing like the real room we had.  In the 6 nights there, the ice machine worked on the day we were checking out.   I don't know if the 11th floor is only for international foreigners who may not know better, but don't expect much if you are planning on staying here.  I guess you get what you pay for, but I would keep searching for a promo on a bulk booking site before ever booking this disaster again.  The reason for the 2 stars, the sheets were white and towels were OK.  Front desk staff were not overly friendly and lines were looooong around 2 o'clock check in.",2,Always4Travelling,August 2019
183,Would Stay Again,"The hotel’s best trait is its location, right next to Brooks Atkinson Theater and walking distance from Time Square. There’s also a really nice little breakfast placed called Carve just at the street corner.The aesthetics are on the older side, and there’s a slight musty smell from the old carpet. We also had to buy water as there was no refill station. At least the beds were comfortable and the bathroom worked well. It was clear that they’ve made sure the toilet amenities stayed updated.Not particularly outstanding but overall recommendable.",5,Wen B,August 2019
184,Best location,"This is our 3 rd year staying in the Edison hotel we love that it's on the door step of Times Square lovely atmosphere, staff very friendly and willing to help make ur stay as enjoyable as possible shout out to jizelle amazing lady we shall be back Annemarie and Leah limerick Ireland",5,Annemarie S,August 2019
185,"Edison hotel - Small rooms, dark and very dirty","Stayed in the Edison hotel on Times Square NYC for a week at the beginning of August 2019. Very disappointed with the family room we were given on the 6th floor it was small,dark and filthy. You couldn't swing a cat in the bathroom which again was filthy and had some mould due to no ventilation.As you can imagine the weather was hot at the time so we needed to use the air conditioning at night, it was so loud we had to turn it off again. We asked for a new room and explained our concerns but they said we would have to pay an additional charge. We refused.On the positive side, the location of the Edison hotel is perfect for exploring NYC, so if you're not fussed about having a nice clean hotel room for your stay... Book up. (Didn't really take any pictures of the room with the exception of the 1 attached)",2,Pauline M,August 2019
186,4s day visit to NYC for Yankee game and Broadway play,"The Edison is an amazing Art Deco hotel, great staff, nice rooms, and fabulous location. The NY Yankees use this hotel to house ballplayers they've called up to the majors, which should tell you something. We're looking forward to our next return trip to NYC and The Edison. Jonathan Bracco was a huge help in getting our tablet returned - we'd left it in the car that took us to the airport. And Bobby pointed us to some outstanding eateries. Again, great staff!",5,Jim K,August 2019
187,Perfect,"Cannot fault this hotel! Perfect location, friendly staff and good security, big rooms and very comfy beds! This hotel will always hold a special place in my heart my boyfriend proposed to me in our room during our trip and stay here!",5,Beth L,August 2019
188,Excellent!10 pts,"Excellent price / benefit ratio in a strategic Manhattan locationGood staff attention. Always willing to help.Spacious, warm and bright rooms.The gym has adequate amount of modern equipmentThe double entrance on 46th and 47th streets is particularly useful",5,Rodolfo Keller,July 2019
189,Wonderful Stay,Great stay!! Very nice staff! Perfect location. If we needed anything the staff was very courteous and helped us out. We look forward to staying again!! We would highly recommend the stay for business or leisure.,5,Janey Jane,August 2019
190,Theatre Director,"I have reviewed the hotel before. As a theatre director (casting in NYC) we have to be conscientious and stay in fair priced lodgings.  As an historic place, in historic Times Square - it can’t get better. But here’s where it does.Left my IPAD in the room aftertastes Checkiut.Called hours later. Conscientious Staff was on it: security handled beautifully, keeping me informed, And returned it. This is why I stay here.",5,Althenia,July 2019
191,Great location,"Great location, staff was not super friendly or very helpful. Seemed very put off when we would ask questions. We made a reservation over the phone and were given one rate, when I checked the reservation online the rate was much higher. I tried to get it corrected and the supervisor I spoke to told me the rate we were told didn’t exist.",3,Carrie Jo,June 2019
192,Edison Hotel,You will want to stay at the Edison Hotel. It’s a haven of rest in a wonderful part of NYC ( Times Square ). The Staff is friendly and  accommodating. Rooms are beautiful and very clean. You will feel safe. Rates are a value. What else can you want?,5,colleen230,August 2019
193,"Great location, lovely room","Stayed at Hotel Edison when visiting NYC for the first time with my teen son. Great location close to restaurants, theaters, and the lights of Times Square. The hotel restaurant was great for breakfast and the room was clean, nicely decorated, and well-sized for Manhattan. Will definitely stay again.",5,Jennifer D.,April 2019
194,Busy!,"If you want an average hotel seconds from Times Square it's fine. The first room we were given was very tired and desperately in need of updating,  when we paid extra for an upgrade it was better. The hotel reception is busier than Times Square,  if you want your hotel to be an escape from the outside world this isn't for you.",3,Paul B,July 2019
195,Good location but not much else,Stayed at the hotel in July/August Location is really good as you are round the corner from Times Square but I would say that is the only selling point Reception area is nice but rooms are tired looking and need a refresh.  Bathroom was small and in our room the tap gushed everywhere when you used it which was not great The safe in the hotel room locked us out twice due to low battery and they more or less accused us of putting in the wrong code Few occasions we tried to call reception and the phone rang out so we had to go down which was not great The WiFi is also very unreliable and annoying that when you arrive you need to pay for it so you are paying for something that doesn’t always work The only plus side apart from location was the restaurant bond 45.  We are in there every morning and food and service was always good In New York you are rarely in your room so overall it was ok but if you are looking for luxury then go somewhere else,3,Lyndsey M,July 2019
196,"Hotel Edison has a great location, great prices and mostly great service","The hotel is right off Times Square in the heart of the theater district. It's very art deco in a good way. The lobby is welcoming and the staff at the front desk very helpful. Check in was very smooth, but lines can build up.",4,matthewdmoore,August 2019
197,"Convenient location, acceptable hotel","Closely located to plenty of subway stations. It was good for Times Square, but that gets frustrating after a while as it is so busy (not the hotels fault though). Lifts were prompt and the lobby and corridors were spacious so it never felt too busy. It was nicely decorated. Staff were really friendly and chatty which was nice. They printed a ticket off for us when we booked something last minute. Wifi was free, although changeable in how well it worked. The rooms were quite dark as there were only lamps, no ceiling light in the main room. The domestic staff were very nice and kept the room clean and re-made our beds each day; however they threw away some empty bottles and cups we'd left on the side (not near a bin) which we were saving so we were not happy. This alone wouldn't stop me staying there, however. Overall, compared to another place I stayed in NY, I found this to be average, but it was perfectly acceptable and had many good points.",3,Katyphair1,August 2019
198,Steps away from the heart of Time Sqaure,Trip to NYC - we had family in from Italy - this was their 1st time to NY. I was a little skeptical the cost of the hotel was very inexpensive and while booking I couldn't secure an upgraded signature room BUT the rooms we better than expected. Free unlimited water was a plus. Onsight eats and drinks were amazing as well.,5,Dawn Fach,August 2019
199,I loved Hotel Edison!,"I loved the old architecture, the room was the spaciest and roomiest I have ever had in Manhattan and it even had a full size bathtub (hot commodity in nyc!) the staff was incredibly accommodating and helpful and the hotel exceeded expectations and was clean and lovely. Will definitely return. The location ROCKS",5,Kc777,August 2019
200,Amazing hotel and staff!,I can not say enough about this Hotel! Our housekeeper was phenomenal and kept our room spotless. The management and staff were great from check-in to check out. I want to personally thank  Jaclyn BohananGuest Relations Ambassador for everything she did to make sure our 4 year anniversary was amazing! She went above and beyond to help me plan the perfect anniversary surprise for my husband including upgrading our room and even provided a bottle of wine for us to celebrate! Please acknowledge her and personally thank her for me.,5,Scott A,August 2019
201,Fabulous Location,"Amazing location, literally on Times Square.  The delicious Friedman's located within the hotel is a fantastic option for food at anytime!!!.  Luggage stored for a dollar per bag for the day, great service.",4,274liamf,July 2019
202,USA Canada trip,Choose this hotel and we were not disappointed. Comfortable beds great rooms friendly staff. We had a Terrace Room on the 18th Floor. Quiet and apart from the sirens. Close to Times Squate would stay here again,4,FireTim44,August 2019
203,Demarcus Woods,Demarcus Woods was very welcoming. He exceeded his customer service duties. Demarcus made my family and myself feel very good and comfortable. He’s a great employee and a huge asset to your company. ThankYou.,5,Jricey T,August 2019
204,Resort Fees !  Beware!,"BEWARE!  RESORT FEE!  My credit card was charged over $57 for a ""resort fee"" other than that it is a nice art nouveau/deco styled hotel with very cool interior. Customer service was meh...You're a hassle.. Tips unappreciated.",2,Chas K,July 2019
205,Great One day stay,"Upon checking in we were advised that we were upgraded to a suite.  The room consisted of two queen beds, living room with a pull out couch.   The room was updated and I will definitely stay here again.  In fact, I was there last year around this time.  Staff were  friendly and I liked that you had to show your room key before entering the elevators.",4,jadamom,August 2019
206,Great location and customer service.,Hotel Edison is highly recommended when you want to stay within walking distance to Time Square. Check in was a breeze and the customer service was highly commendable.They answer your email inquiries promptly. The room was clean and spacious. Stay with this hotel was a comfort.,5,Eden315,July 2019
207,I knew it was good to be back!,"I knew I'd be back the next time I'm in NYC, and that was a good choice!Even when the hotel was fully booked- the service was the greatest.The room was always clean and well equipped with everything we needed.Since my last time, the WiFi is now free of charge and that a plus, but WiFi needs improvements, most of the time it was very weak.Kwancheewa from housekeeping was amazing!Except for the fact that she was super nice, kind and welcoming, she took good care of our room, we always felt as if we had a personal staff member for room #420 because we saw her almost every morning and her work was well shown and proven.If I have Kwancheewa as a staff member in every hotel I'm ever visiting then I will book the hotel room without any doubts!Keep up the good work with the warm smile you had every morning!I would also like to thank 2 more special members who made my stay very pleasant:Kevin & Danny - hop to see you on my next visit!Best regards,Meirav Haber",5,MerviMTV,July 2019
208,Loved our stay at Hotel Edison,"Staff is friendly and helpful, room dated but clean. Location is amazing, can't find a better place for the price so close to Time Square. Will be staying here again. Broadway shows located all around the hotel. Everything you could possibly want just steps away.",4,TAMMI P,July 2019
209,"Ok, just ok ","Pros: security at the elevator, they were always super friendly. The staff always greeted us with a smile and sincere pleasantries. The AC in the rooms worked great. The maid service was really nice and quick! I called down for a sewing kit and they had it up within 7 minutes. The hotel really is in the heart of time square but the bell guys will tell you where to find a great slice a few blocks away. Cons: the rooms smelled like sewer every time we’d flush the toilet, run the sink or shower. We kept the bathroom door shut the best we could (pocket door didn’t want to stay shut). Maybe if we staying on a lower floor it wouldn’t have been that bad?",3,Carrie B,July 2019
210,"Perfect Location, Friendly Staff!","My husband and I just checked out of Hotel Edison today after a 3 night stay to celebrate our wedding anniversary. The location was perfect! We were in walking distance to everything in Times Square and steps away from excellent food. Christian at the front desk sent us a special gift for our anniversary. Robbie delivered it to our room with a warm greeting and invited us to the hotel’s party the next day. I requested a refrigerator which was delivered with no problem, and when I needed to warm up food De’Marcus kindly offered to warm it up personally! We had a friendly experience with all staff including reception, housekeeping, and the bellman. Thank you all for providing us with a fun, memorable anniversary stay!",5,misstierab,August 2019
211,NYC Birthday Girls Trip,"I was treated like royalty the moment I enter into the hotel. I arrived at the hotel early and Rommel immediately made sure I was able to check in. Rommel was very nice and funny, he made me feel right at home. Jaclyn welcomed me to the hotel as well and provided me with a complimentary gift for my birthday. De'Marcus ensured my stay would be great. I'm waiting on that birthday song, De'Marcus. Zenny was patient and courteous while checking me in. Friendly staff & beautiful hotel, I would definitely stay at Hotel Edison again!",5,LionQueen,July 2019
212,Traveling solo,I recently had the privilege of staying at the Hotel Edison.I had a great stay. Thanks to Rommel Gopez I found some new places to go and restaurants to try new cuisine. My accommodations were lovely and I even got to see a show or two. I definitely want to make the Edison a part of my new solo travel tradition,5,Terrill W,June 2019
213,Get what you pay for!,This is an older style hotel right near Times Square and is well located. The decor in the foyer was art deco and there were comfortable lounges. It was very busy and this was reflected in the attitude of the staff at reception. We were told we were being “upgraded” to a newly renovated room on the 17th floor but when we saw it we were doubtful that this was an upgrade as we had booked a Junior Suite. It was smaller than a cabin on a cruise ship but did have a new bathroom. Also there was no fridge which i had booked. When we approached reception again the same lady said she could send a fridge but none of the rooms came with a fridge. We questioned the size of the room compared to what we had ordered and were told the only thing we were missing was a sofa which we didn’t need. When the fridge was delivered there was nowhere to fit it except in a corner which means we had to climb over it when you were going around the bed. It only got worse! At 2am we had an engineer trying to stop the air conditioner from flooding our room. The next Morning after approaching a different receptionist we were moved to the junior suite that we had booked but no apologies for our misfortune. The bathroom wasn’t renovated but the room was 3 times the size of the 17th floor room. And in the room was the fridge that i knew i had booked. Don’t expect hospitality here.,3,cas1411,August 2019
214,Mr,"The location is convenient just steps away from Times Square in Midtown Manhattan. The room was spacious with two double beds, but what made my stay memorable was Rommel, Director of Guest Relations. He made sure we were comfortable during our stay, he made us feel part of the Edison Family.",5,Roy C,July 2019
215,Great Stay!,"What an amazing experience!  Was invited to the guest VIP reception hosted by Rommel with live entertainment, wine and food for free!  Great service, and love the restaurant Bond 45 and The Rum House jazz club, both in the hotel!  I’ll be back!",5,Benjaminmaddy,July 2019
216,"Nice staff, great location!","What a great place to stay. The hotel was nice, the staff was courteous, helpful and friendly and the central location was perfect for all I needed to accomplish in the city. I highly recommend this hotel both for the business or pleasure traveler.",5,Bwc621,July 2019
